NTA Name,NTA Code,Borough Name,Borough CD,Total Population,% Hispanic Latino,% White,% Black/African American
155. Auburndale,QN28,Queens,402.0,81745,,,
156. Whitestone,QN29,Queens,413.0,32179,,,
157. Elmhurst-Maspeth,QN30,Queens,413.0,69295,,,
158. Murray Hill,QN31,Queens,408.0,21207,,,
159. East Flushing,QN33,Queens,408.0,54256,,,
160. Woodhaven,QN34,Queens,408.0,43476,,,
161. Richmond Hill,QN35,Queens,408.0,37584,,,
162. South Ozone Park,QN37,Queens,408.0,36975,,,
163. Ozone Park,QN38,Queens,411.0,18699,,,
164. Lindenwood-Howard Beach,QN41,Queens,413.0,30316,,,
165. Kew Gardens,QN42,Queens,413.0,27733,,,
166. Jamaica,QN43,Queens,413.0,24365,,,
167. Queensboro Hill,QN44,Queens,411.0,25633,,,
168. Woodside,QN45,Queens,411.0,43212,,,
169. Laurelton,QN46,Queens,407.0,22700,,,
170. Queensbridge-Ravenswood-Long Island City,QN47,Queens,407.0,20588,,,
171. Astoria,QN48,Queens,409.0,31971,,,
172. Old Astoria,QN49,Queens,410.0,24234,,,
173. Steinway,QN50,Queens,410.0,50231,,,
174. Baisley Park,QN51,Queens,410.0,25677,,,
175. Airport,QN52,Queens,410.0,60572,,,
176. park-cemetery-etc-Queens,QN53,Queens,412.0,65068,,,
177. Annadale-Huguenot-Prince’s Bay-Eltingville,SI01,Queens,407.0,82931,,,
178. New Springville-Bloomfield-Travis,SI05,Queens,402.0,24511,,,
179. Westerleigh,SI07,Staten Island,413.0,29219,,,
180. Grymes Hill-Clifton-Fox Hills,SI08,Staten Island,401.0,23166,,,
181. Charleston-Richmond Valley-Tottenville,SI11,Staten Island,401.0,53932,,,
182. Mariner’s Harbor-Arlington-Port Ivory-Graniteville,SI12,Staten Island,401.0,20269,,,
183. Grasmere-Arrochar-Ft. Wadsworth,SI14,Staten Island,401.0,43841,,,
184. West New Brighton-New Brighton-St. George,SI22,Staten Island,412.0,26544,,,
185. Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24,Staten Island,595.0,19228,,,
186. Oakwood-Oakwood Beach,SI25,Staten Island,,74767,,,
187. Port Richmond,SI28,Staten Island,,24732,,,
188. Rossville-Woodrow,SI32,Staten Island,,48235,,,
189. New Brighton-Silver Lake,SI35,Staten Island,,39203,,,
190. Old Town-Dongan Hills-South Beach,SI36,Staten Island,,28976,,,
191. Stapleton-Rosebank,SI37,Staten Island,,41936,,,
192. New Dorp-Midland Beach,SI45,Staten Island,,24111,,,
193. Arden Heights Great Kills,SI48,Staten Island,,21707,,,
194. park-cemetery-etc-Staten Island,SI54,Staten Island,,24275,,,
